194;LD1M / 00019354 / 6;383;0,1200 HA;
195;LD1M / 00019356 / 0;371/1;0,0689 HA;
196;LD1M / 00019357 / 7;387;0,1421 HA;
197;LD1M / 00019358 / 4;14;0,1147 HA;
198;LD1M / 00019359 / 1;369;0,0564 HA;
199;LD1M / 00019361 / 8;9;0,0520 HA;
200;LD1M / 00019387 / 6;330/2337/7;0,0898 HA;
201;LD1M / 00019388 / 3;1;0,0777 HA;
202;LD1M / 00019389 / 0;5;0,0753 HA;
null;null;null;null;
203;LD1M / 00056962 / 2;342344;0,4800 HA;
204;LD1M / 00057560 / 1;281/3;0,0753 HA;
205;LD1M / 00057561 / 8;281/4;0,0754 HA;
206;LD1M / 00057562 / 5;281/2;0,0753 HA;
207;LD1M / 00058079 / 9;7794/194/393/5;2,3851 HA;
208;LD1M / 00058166 / 6;7;0,1400 HA;
209;LD1M / 00058727 / 7;162/2;0,1355 HA;
210;LD1M / 00058771 / 0;92/697/4129/1129/3129/4;0,6936 HA;
211;LD1M / 00058845 / 0;305/7;0,1900 HA;
212;LD1M / 00059522 / 7;314/2;0,0700 HA;
213;LD1M / 00060025 / 3;58;0,4100 HA;
214;LD1M / 00060685 / 7;70/3;0,2447 HA;
215;LD1M / 00061085 / 8;409/2;0,1250 HA;
216;LD1M / 00061201 / 8;220/2;0,2200;
217;LD1M / 00061260 / 9;409/1;0,1200 HA;
218;LD1M / 00061342 / 8;133/1;0,1200 HA;
219;LD1M / 00061447 / 4;410/2;0,0500 HA;
220;LD1M / 00061600 / 5;130/4;0,1208 HA;
221;LD1M / 00061603 / 6;237/2;643,0000 M2;
222;LD1M / 00061969 / 9;130/3;0,1220 HA;
223;LD1M / 00062156 / 4;288/1;0,0300 HA;
224;LD1M / 00062571 / 9;217;0,1700 HA;
225;LD1M / 00062582 / 9;68;0,6500 HA;
226;LD1M / 00062828 / 6;154;0,1200 HA;
227;LD1M / 00062840 / 6;69;0,1600 HA;
228;LD1M / 00063706 / 2;148;0,1300 HA;
229;LD1M / 00063715 / 8;320/2;0,1351 HA;
230;LD1M / 00064114 / 2;166/1;0,0700 HA;
231;LD1M / 00064486 / 0;22;0,4000 HA;
232;LD1M / 00064495 / 6;298/1;0,0786 HA;
233;LD1M / 00064561 / 0;62/1;0,7600 HA;
234;LD1M / 00064706 / 9;96/696/4;0,7747 HA;
235;LD1M / 00064741 / 6;235/6;0,2060 HA;
236;LD1M / 00065359 / 8;268/9;0,0900 HA;
237;LD1M / 00066171 / 3;235/19;0,2578;
238;LD1M / 00066190 / 2;431;0,1300 HA;
239;LD1M / 00066406 / 0;62/2;0,0900 HA;
240;LD1M / 00066500 / 9;236/3;0,1653 HA;
241;LD1M / 00066786 / 7;131/4131/8;1,0698;
242;LD1M / 00066832 / 5;103297/12297/16;0,6840;
